"State,County Name, High School Diploma Only Rate 2012 - 2016, Average Unemployment Rate 2012 - 2016"
AR,Van Buren County,45.2,5.66
AR,White County,38.2,6.2
AR,Woodruff County,45.4,8.52
AR,Yell County,40.9,8.78
CA,Alameda County,18.0,8.4
CA,Alpine County,32.5,17.52
CA,Amador County,26.8,6.42
CA,Butte County,22.7,10.38
CA,Calaveras County,27.2,7.36
CA,Colusa County,21.8,11.9
CA,Contra Costa County,18.2,10.86
CA,Del Norte County,30.7,7.06
CA,El Dorado County,21.8,24.8
CA,Fresno County,22.7,7.0
CA,Glenn County,27.9,11.12
CA,Humboldt County,24.7,12.24
CA,Imperial County,22.5,9.46
CA,Inyo County,31.2,9.22
CA,Kern County,27.2,8.26
CA,Kings County,26.4,11.68
CA,Lake County,27.8,4.62
CA,Lassen County,30.9,9.08
CA,Los Angeles County,20.7,7.34
CA,Madera County,25.9,13.04
CA,Marin County,11.3,10.76
CA,Mariposa County,28.4,7.44
CA,Mendocino County,26.2,9.32
CA,Merced County,25.2,6.06
CA,Modoc County,27.1,6.82
CA,Mono County,18.0,5.8
CA,Monterey County,20.4,6.58
CA,Napa County,18.8,12.22
CA,Nevada County,19.6,8.56
CA,Orange County,17.4,7.62
CA,Placer County,19.2,9.64
CA,Plumas County,23.9,8.2
CA,Riverside County,25.9,6.6
CA,Sacramento County,22.4,4.8
CA,San Benito County,24.6,10.86
CA,San Bernardino County,26.2,5.98
CA,San Diego County,18.8,4.38
CA,San Francisco County,12.5,6.36
CA,San Joaquin County,26.6,5.48
CA,San Luis Obispo County,19.4,9.18
CA,San Mateo County,15.9,10.12
CA,Santa Barbara County,17.9,10.76
CA,Santa Clara County,14.8,11.46
CA,Santa Cruz County,15.5,7.76
CA,Shasta County,25.5,6.12
CA,Sierra County,26.5,11.52
CA,Siskiyou County,25.4,12.96
CA,Solano County,23.5,10.0
CA,Sonoma County,19.4,10.2
CA,Stanislaus County,28.1,13.38
CA,Sutter County,24.4,9.14
CA,Tehama County,31.1,6.96
CA,Trinity County,32.4,7.8
CA,Tulare County,25.4,11.48
CA,Ventura County,18.8,6.16
CA,Yolo County,19.2,7.26
CA,Yuba County,24.3,5.26
CO,Adams County,28.5,3.02
CO,Alamosa County,24.4,5.68
CO,Arapahoe County,20.6,4.3
CO,Archuleta County,25.6,4.5
CO,Baca County,29.6,4.6
CO,Bent County,45.5,3.38
CO,Boulder County,12.9,5.02
CO,Broomfield County,15.0,7.98
CO,Chaffee County,26.2,8.5
CO,Cheyenne County,34.0,5.74
CO,Clear Creek County,20.3,4.9
CO,Conejos County,31.7,7.3
CO,Costilla County,26.4,5.28
CO,Crowley County,40.4,5.86
CO,Custer County,21.8,4.2
CO,Delta County,36.9,4.62
CO,Denver County,17.6,4.58
CO,Dolores County,38.7,6.3
CO,Douglas County,12.3,8.36
CO,Eagle County,17.9,5.76
CO,Elbert County,26.1,4.5
CO,El Paso County,20.6,4.54
CO,Fremont County,39.2,4.16
CO,Garfield County,28.7,3.72
CO,Gilpin County,24.3,10.44
CO,Grand County,25.7,4.06
